Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,309,485,403,803,999,1400,8,1605,0.00%,2.0,1.1,269.01
HTTP Request,1292,114,99,195,283,497,4,794,0.00%,8.6,4.7,91.01
HTTP Request,3654,40,17,93,106,283,3,687,0.00%,24.4,13.4,53.60
HTTP Request,8359,17,5,60,75,103,2,397,0.00%,55.8,30.5,28.15
HTTP Request,28650,5,3,6,12,53,1,618,0.00%,191.6,104.8,10.12
HTTP Request,608,2464,2302,3793,4400,6006,101,6385,0.00%,4.0,2.2,1074.66
HTTP Request,3002,498,417,899,1198,1968,5,3271,0.00%,20.0,11.0,377.66
HTTP Request,4100,361,314,625,805,1318,5,2996,0.00%,27.6,15.2,272.99
HTTP Request,2720,550,506,906,1310,2200,10,3390,0.00%,18.1,123.6,411.60
HTTP Request,19470,76,58,177,205,312,3,1025,0.00%,129.9,72.2,73.88
HTTP Request,484,15877,15101,22366,24693,30505,1492,40296,0.00%,3.1,1.7,5279.54
HTTP Request,1651,4509,4290,7711,8298,10109,90,11791,0.00%,11.0,6.1,2125.74
HTTP Request,4384,1694,1699,2621,3010,5670,8,9014,0.00%,29.4,16.3,947.58
HTTP Request,6054,1227,1242,2025,2314,3240,9,5225,0.00%,40.6,22.7,693.74
HTTP Request,15157,488,421,979,1098,1371,5,2026,0.00%,102.2,56.8,342.71
HTTP Request,520,29087,26699,49291,58478,90480,512,96184,0.00%,3.4,1.9,16034.14
HTTP Request,1108,13594,13001,21413,24099,29207,1995,35511,0.00%,7.3,4.1,5612.80
HTTP Request,3203,4685,3895,8892,10305,13953,92,18026,0.00%,21.2,11.8,2873.03
HTTP Request,6083,2451,2177,4302,5201,9508,9,18080,0.00%,40.7,22.6,1763.33
HTTP Request,11890,1249,950,2676,3303,4619,5,9000,0.00%,79.9,44.4,1058.15
HTTP Request,436,72964,67803,137373,153295,161770,3088,166878,0.00%,2.6,1.4,43542.06
HTTP Request,1038,29295,25914,56092,63188,85295,996,114590,0.00%,6.7,3.7,18418.63
HTTP Request,2008,15144,14491,26184,31688,45095,101,63594,0.00%,13.0,7.1,9337.17
HTTP Request,3321,8996,8715,15200,18702,27081,7,40730,0.00%,22.1,12.1,5827.15
HTTP Request,6086,4925,4181,10102,11247,16693,6,22767,0.00%,40.0,22.0,3683.45
HTTP Request,1008,112303,118899,180093,198958,216959,2106,263575,0.00%,3.7,2.0,55752.79
HTTP Request,1487,59600,61107,93204,102793,120187,2613,143805,0.00%,7.7,4.2,26541.77
HTTP Request,2232,36854,36919,52617,58292,65884,2713,81802,0.00%,12.8,7.0,12526.11
HTTP Request,3486,22760,22209,34129,37204,44794,798,56938,0.00%,21.1,11.5,8805.65
HTTP Request,5385,14321,11203,29123,36618,46083,498,63775,0.00%,33.8,18.5,9932.43
HTTP Request,429,346,297,593,789,1400,7,1995,0.00%,2.9,1.6,239.87
HTTP Request,1383,106,97,193,209,380,4,897,0.00%,9.2,5.1,79.74
HTTP Request,4434,32,16,86,94,169,2,516,0.00%,29.6,16.2,38.16
HTTP Request,4120,35,11,118,196,284,10,818,0.00%,27.5,475.4,68.09
HTTP Request,7429,19,13,19,52,190,11,682,0.00%,49.6,1031.6,33.00
HTTP Request,708,2124,1996,3193,3695,6105,103,6399,0.00%,4.7,2.6,930.94
HTTP Request,2295,651,606,1075,1207,1769,6,2686,0.00%,15.3,8.5,340.38
HTTP Request,682,2190,1995,3099,4702,5801,33,6489,0.00%,4.6,97.5,1020.40
HTTP Request,1210,1239,1197,1815,2211,2996,55,4098,0.00%,8.0,171.4,535.21
HTTP Request,2023,741,712,1215,1369,2220,28,3646,0.00%,13.5,273.5,426.75
HTTP Request,642,11867,11202,18292,19985,25692,689,30695,0.00%,4.2,2.3,4545.35
HTTP Request,1748,4283,4397,6581,7502,10702,12,14801,0.00%,11.6,6.4,2071.57
HTTP Request,3991,1865,1923,2942,3290,3990,7,5301,0.00%,26.7,14.8,909.79
HTTP Request,8086,916,895,1691,1914,2502,6,4348,0.00%,54.4,30.3,617.00
HTTP Request,14851,500,441,995,1138,1466,5,2688,0.00%,99.8,55.5,363.91
HTTP Request,732,21485,20795,30397,33608,52084,491,56188,0.00%,4.5,2.5,8125.86
HTTP Request,1807,8321,7901,14099,16988,21314,315,25200,0.00%,11.9,6.6,4511.41
HTTP Request,3806,3917,3995,5792,6406,7974,13,10198,0.00%,25.3,14.1,1574.51
HTTP Request,6936,2137,2117,3610,4202,5796,7,7795,0.00%,46.6,25.9,1209.64
HTTP Request,15449,956,894,1802,2103,2683,8,4691,0.00%,104.0,58.1,641.83
HTTP Request,626,52999,51499,86308,95098,116388,8680,134198,0.00%,3.6,2.0,23854.07
HTTP Request,1349,22874,22787,35799,41090,49482,3801,74608,0.00%,8.6,4.7,9645.01
HTTP Request,3045,9808,9698,14989,16703,19987,385,25122,0.00%,20.1,11.0,3959.46
HTTP Request,5287,5681,5223,8836,10584,13823,111,35828,0.00%,34.0,18.6,2586.23
HTTP Request,15010,1989,1871,3667,4314,5899,10,15316,0.00%,97.8,53.5,1324.40
HTTP Request,949,109255,109492,172895,189292,230703,15415,245806,3.27%,3.8,2.3,50230.03
HTTP Request,1856,45802,49182,68073,75485,90781,1107,110355,0.00%,10.1,5.5,20553.89
HTTP Request,3188,24896,25538,33685,36015,39380,2368,51882,0.00%,19.2,10.5,7016.73
HTTP Request,7011,10999,8991,18675,23111,64672,108,129747,0.27%,38.4,21.4,11102.38
HTTP Request,14478,5296,3682,10003,12721,34180,80,130438,0.06%,68.2,37.6,7101.15
HTTP Request,427,347,301,499,604,893,5,1133,0.00%,2.9,1.6,144.66
HTTP Request,1680,87,96,186,197,292,3,499,0.00%,11.2,6.1,67.32
HTTP Request,2811,52,47,94,102,183,3,394,0.00%,18.8,10.3,41.51
HTTP Request,20064,7,3,14,32,76,1,422,0.00%,133.9,73.2,15.04
HTTP Request,38433,3,3,5,6,26,1,290,0.00%,256.9,141.2,5.26
HTTP Request,873,1711,1691,2700,3002,3701,9,4801,0.00%,5.8,3.2,778.42
HTTP Request,2357,634,598,1081,1290,1696,6,2315,0.00%,15.7,8.7,339.83
HTTP Request,6184,239,208,484,578,826,3,1666,0.00%,41.5,23.1,185.99
HTTP Request,13429,111,87,255,306,490,3,1569,0.00%,89.6,49.5,111.76
HTTP Request,21155,69,53,158,191,294,3,679,0.00%,142.3,78.6,65.78
HTTP Request,820,9135,9086,13297,14500,17781,12,20102,0.00%,5.4,3.0,3258.52
HTTP Request,1858,4055,4010,5789,6612,8705,88,11296,0.00%,12.3,6.8,1548.36
HTTP Request,4571,1624,1688,2697,3014,4099,8,7293,0.00%,30.7,17.1,937.51
HTTP Request,7484,990,1007,1780,1995,2501,7,3704,0.00%,50.3,28.0,608.22
HTTP Request,16589,446,382,916,1075,1310,5,1795,0.00%,111.7,62.0,334.84
HTTP Request,795,19410,19200,27592,29890,36000,3294,42494,0.00%,5.0,2.8,6182.39
HTTP Request,1442,10492,10516,14801,16202,18269,278,23198,0.00%,9.4,5.2,3289.58
